Zip,Age,Education,Martial Status,Occupation,Race,Sex
64152,39,Bachelors,Never-married,Adm-clerical,White,Male
61523,50,Bachelors,Married-civ-spouse,Exec-managerial,White,Male
95668,38,HS-grad,Divorced,Handlers-cleaners,White,Male
25503,53,11th,Married-civ-spouse,Handlers-cleaners,Black,Male
75387,28,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female
98201,37,Masters,Married-civ-spouse,Exec-managerial,White,Female
87125,49,9th,Married-spouse-absent,Other-service,Black,Female
60887,52,HS-grad,Married-civ-spouse,Exec-managerial,White,Male
81548,31,Masters,Never-married,Prof-specialty,White,Female
51592,42,Bachelors,Married-civ-spouse,Exec-managerial,White,Male
90245,37,Some-college,Married-civ-spouse,Exec-managerial,Black,Male
89259,30,Bachelors,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male
79482,23,Bachelors,Never-married,Adm-clerical,White,Female
29389,32,Bachelors,Never-married,Sales,Black,Male
42065,40,Masters,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male
76988,34,7th-8th,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male
32345,25,HS-grad,Never-married,Farming-fishing,White,Male
71929,32,HS-grad,Never-married,Machine-op-inspct,White,Male
30982,38,11th,Married-civ-spouse,Sales,White,Male
72862,43,Masters,Divorced,Exec-managerial,White,Female
53155,40,Doctorate,Married-civ-spouse,Prof-specialty,White,Male
36913,54,HS-grad,Separated,Other-service,Black,Female
92617,35,9th,Married-civ-spouse,Farming-fishing,Black,Male
55466,43,11th,Married-civ-spouse,Transport-moving,White,Male
32737,59,HS-grad,Divorced,Tech-support,White,Female
58986,56,Bachelors,Married-civ-spouse,Tech-support,White,Male
91102,19,HS-grad,Never-married,Craft-repair,White,Male
85984,54,Some-college,Married-civ-spouse,Tech-support,Asian-Pac-Islander,Male
91341,39,HS-grad,Divorced,Exec-managerial,White,Male
54807,49,HS-grad,Married-civ-spouse,Craft-repair,White,Male
93239,23,Bachelors,Never-married,Protective-serv,White,Male
65932,20,Some-college,Never-married,Sales,Black,Male
97175,45,Bachelors,Divorced,Exec-managerial,White,Male
20061,30,Some-college,Married-civ-spouse,Adm-clerical,White,Male
20149,22,Some-college,Married-civ-spouse,Other-service,Black,Male
28032,48,11th,Never-married,Machine-op-inspct,White,Male
41136,21,Some-college,Never-married,Machine-op-inspct,White,Male
93276,19,HS-grad,Married-AF-spouse,Adm-clerical,White,Female
58492,31,Some-college,Married-civ-spouse,Sales,White,Male
14378,48,Bachelors,Married-civ-spouse,Prof-specialty,White,Male
82327,31,9th,Married-civ-spouse,Machine-op-inspct,White,Male
95683,53,Bachelors,Married-civ-spouse,Prof-specialty,White,Male
18173,24,Bachelors,Married-civ-spouse,Tech-support,White,Male
75680,49,HS-grad,Separated,Adm-clerical,White,Female
62177,25,HS-grad,Never-married,Handlers-cleaners,White,Male
74972,57,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male
80887,53,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male
17524,44,Masters,Divorced,Exec-managerial,White,Female
53662,41,Masters,Married-civ-spouse,Craft-repair,White,Male
56298,29,Masters,Never-married,Prof-specialty,White,Male
42814,25,Some-college,Married-civ-spouse,Exec-managerial,Other,Female
61843,18,HS-grad,Never-married,Other-service,White,Female
90260,47,HS-grad,Married-civ-spouse,Prof-specialty,White,Female
74955,50,Bachelors,Divorced,Exec-managerial,White,Male
19825,47,HS-grad,Divorced,Exec-managerial,White,Male
96085,43,Some-college,Married-civ-spouse,Tech-support,White,Male
70747,46,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male
78345,35,Masters,Married-civ-spouse,Other-service,White,Male
49792,41,HS-grad,Married-civ-spouse,Adm-clerical,White,Male
43800,30,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male
54588,30,Bachelors,Married-civ-spouse,Sales,White,Male
21928,32,7th-8th,Married-spouse-absent,Sales,White,Male
16447,48,HS-grad,Married-civ-spouse,Transport-moving,White,Male
