Age,Generation
1,Gen Alpha
2,Gen Alpha
3,Gen Alpha
4,Gen Alpha
5,Gen Alpha
6,Gen Alpha
7,Gen Alpha
8,Gen Alpha
9,Generation Z
10,Generation Z
11,Generation Z
12,Generation Z
13,Generation Z
14,Generation Z
15,Generation Z
16,Generation Z
17,Generation Z
18,Generation Z
19,Generation Z
20,Generation Z
21,Generation Z
22,Generation Z
23,Generation Z
24,Generation Z
25,Generation Z
26,Generation Z
27,Millenials
28,Millenials
29,Millenials
30,Millenials
31,Millenials
32,Millenials
33,Millenials
34,Millenials
35,Millenials
36,Millenials
37,Millenials
38,Millenials
39,Xennials
40,Xennials
41,Xennials
42,Xennials
43,Xennials
44,Xennials
45,Generation X
46,Generation X
47,Generation X
48,Generation X
49,Generation X
50,Generation X
51,Generation X
52,Generation X
53,Generation X
54,Generation X
55,Generation X
56,Generation X
57,Baby Boomers
58,Baby Boomers
59,Baby Boomers
60,Baby Boomers
61,Baby Boomers
62,Baby Boomers
63,Baby Boomers
64,Baby Boomers
65,Baby Boomers
66,Baby Boomers
67,Baby Boomers
68,Baby Boomers
69,Baby Boomers
70,Baby Boomers
71,Baby Boomers
72,Baby Boomers
73,Baby Boomers
74,Baby Boomers
75,Baby Boomers
76,Silent Generation
77,Silent Generation
78,Silent Generation
79,Silent Generation
80,Silent Generation
81,Silent Generation
82,Silent Generation
83,Silent Generation
84,Silent Generation
85,Silent Generation
86,Silent Generation
87,Silent Generation
88,Silent Generation
89,Silent Generation
90,Silent Generation
91,Silent Generation
92,Silent Generation
93,Silent Generation
94,Silent Generation
95,Silent Generation
96,Silent Generation
97,Greatest Generation
98,Greatest Generation
99,Greatest Generation
100,Greatest Generation
101,Greatest Generation
102,Greatest Generation
103,Greatest Generation
104,Greatest Generation
105,Greatest Generation
106,Greatest Generation
107,Greatest Generation
108,Greatest Generation
109,Greatest Generation
110,Greatest Generation
111,Greatest Generation
